xg,yg,hs,gobs,yr,xm,ym,hdtbm,hnew,gth,fwc,fa,te,ba
      16.795532,      41.188150,     -52.000000,  980372.000000,    1960.000000,  650580.050535, 4561197.833295,     -54.200001,     -52.000000,  980275.147943,      11.532550,      69.899508,      -0.270892,      70.170399
      16.773864,      41.201761,     -59.500000,  980374.070000,    1960.000000,  648732.002082, 4562671.654440,     -60.349998,     -59.500000,  980276.368338,      13.195898,      69.085764,      -0.178287,      69.264051
      16.781919,      41.170649,     -24.200000,  980367.530000,    1960.000000,  649478.208327, 4559231.477803,     -31.950001,     -31.950001,  980273.578960,       7.085865,      71.445175,      -0.203706,      71.648880
      16.716640,      41.195927,     -34.200000,  980366.130000,    1960.000000,  643946.560715, 4561927.749290,     -34.950001,     -34.200000,  980275.845314,       7.584869,      67.279817,      -0.131411,      67.411228
      16.671915,      41.213428,     -34.000000,  980364.290000,    1960.000000,  640158.727101, 4563797.537710,     -33.900002,     -34.000000,  980277.414476,       7.540513,      63.915011,      -0.135470,      64.050481
      16.624136,      41.227039,     -30.000000,  980363.620000,    1960.000000,  636124.991197, 4565232.700314,     -30.900000,     -30.000000,  980278.635014,       6.653394,      62.911592,      -0.186857,      63.098450
      16.660249,      41.240650,     -48.500000,  980370.160000,    1960.000000,  639122.938663, 4566801.011445,     -49.000000,     -48.500000,  980279.855648,      10.756321,      64.128032,      -0.138642,      64.266673
      16.706639,      41.229817,     -57.000000,  980371.680000,    1960.000000,  643034.089395, 4565673.643947,     -56.200001,     -57.000000,  980278.884153,      12.641449,      64.734398,      -0.179680,      64.914078
      16.736084,      41.217317,     -58.100000,  980372.850000,    1960.000000,  645529.715847, 4564334.761034,     -57.750000,     -58.100000,  980277.763221,      12.885407,      66.781372,      -0.117353,      66.898725
      16.641359,      41.218983,     -28.800000,  980363.270000,    1960.000000,  637585.428926, 4564365.437347,     -30.450001,     -28.800000,  980277.912597,       6.387258,      63.550145,      -0.217457,      63.767602
