or,xg,yg,fa,fa_err,xm,ym,hdtbm,te,ba
      15.858333,      15.858333,      41.841667,     122.293823,      40.600807,  571261.369454, 4632552.980692,     130.000000,      10.647099,     111.646724
      41.841667,      15.875000,      41.841667,     131.612595,      40.281910,  572645.097305, 4632566.943982,     176.000000,      16.867548,     114.745047
     122.293823,      15.891667,      41.841667,     141.694092,      39.821556,  574028.825845, 4632581.175846,     423.000000,      42.784150,      98.909942
      40.600807,      15.908333,      41.841667,     152.210938,      39.382526,  575412.555079, 4632595.676288,     614.000000,      62.651160,      89.559778
     122.031921,      15.925000,      41.841667,     162.154648,      38.943413,  576796.285035, 4632610.445310,     523.000000,      53.331345,     108.823303
      15.875000,      15.941667,      41.841667,     170.870270,      38.468700,  578180.015719, 4632625.482914,     617.000000,      65.993229,     104.877041
      41.841667,      15.958333,      41.841667,     177.623245,      37.867928,  579563.747135, 4632640.789105,     686.000000,      73.557398,     104.065847
     131.612595,      15.975000,      41.841667,     182.043594,      34.343819,  580947.479313, 4632656.363884,     656.000000,      69.681288,     112.362306
      40.281910,      15.991667,      41.841667,     183.826523,      30.658386,  582331.212258, 4632672.207256,     631.000000,      65.162157,     118.664365
     131.212860,      16.008333,      41.841667,     183.194778,      26.976408,  583714.945975, 4632688.319223,     685.000000,      72.797455,     110.397323
      15.891667,      16.025000,      41.841667,     180.274948,      23.279287,  585098.680494, 4632704.699788,     631.000000,      65.875958,     114.398990
      41.841667,      16.041667,      41.841667,     175.309937,      19.799288,  586482.415818, 4632721.348955,     594.000000,      59.242798,     116.067138
     141.694092,      16.058333,      41.841667,     168.969727,      18.254148,  587866.151954, 4632738.266727,     482.000000,      50.331959,     118.637767
      39.821556,      16.075000,      41.841667,     161.744827,      16.889036,  589249.888929, 4632755.453107,     359.000000,      37.278477,     124.466351
     141.418655,      16.091667,      41.841667,     154.313370,      15.533338,  590633.626751, 4632772.908099,     322.000000,      32.486281,     121.827089
      15.908333,      16.108333,      41.841667,     147.088593,      14.070746,  592017.365422, 4632790.631707,     320.000000,      33.828691,     113.259902
      41.841667,      16.125000,      41.841667,     140.433533,      12.775648,  593401.104973, 4632808.623933,     234.000000,      23.660908,     116.772625
     152.210938,      16.141667,      41.841667,     134.817413,      11.714508,  594784.845409, 4632826.884781,     216.000000,      21.523056,     113.294358
      39.382526,      16.158333,      41.841667,     129.992508,      10.670071,  596168.586734, 4632845.414255,      99.000000,       7.482621,     122.509887
     151.947983,      16.175000,      41.841667,     124.931252,       9.626045,  597552.328978, 4632864.212359,      68.000000,       5.839514,     119.091737
      15.925000,      16.191667,      41.841667,     118.494865,       8.598678,  598936.072146, 4632883.279097,      -7.450000,      -1.189612,     119.684478
      41.841667,      16.208333,      41.841667,     110.237305,       7.658496,  600319.816242, 4632902.614471,     -12.600000,      -1.271407,     111.508712
     162.154648,      16.225000,      41.841667,     101.435356,       6.711136,  601703.561297, 4632922.218487,     -15.100000,      -1.325992,     102.761348
      38.943413,      16.241667,      41.841667,      94.502480,       5.866956,  603087.307314, 4632942.091148,     -17.500000,      -1.428885,      95.931365
     161.743225,      16.258333,      41.841667,      90.589005,       5.058113,  604471.054299, 4632962.232457,     -20.350000,      -1.579069,      92.168074
      15.941667,      16.275000,      41.841667,      88.284477,       4.199605,  605854.802281, 4632982.642419,     -23.000000,      -1.730018,      90.014495
      41.841667,      16.291667,      41.841667,      85.654320,       3.448514,  607238.551265, 4633003.321039,     -26.150000,      -1.934464,      87.588784
     170.870270,      16.308333,      41.841667,      82.662903,       3.000793,  608622.301256, 4633024.268319,     -32.450001,      -2.352846,      85.015748
      38.468700,      16.325000,      41.841667,      80.226547,       2.721028,  610006.052284, 4633045.484264,     -40.099998,      -2.857308,      83.083855
     170.480957,      16.341667,      41.841667,      78.279373,       2.390589,  611389.804352, 4633066.968879,     -48.400002,      -3.415725,      81.695098
      15.958333,      16.358333,      41.841667,      76.342003,       1.992083,  612773.557467, 4633088.722168,     -55.549999,      -3.864656,      80.206658
      41.841667,      16.375000,      41.841667,      74.219696,       1.621661,  614157.311657, 4633110.744134,     -61.700001,      -4.286198,      78.505894
     177.623245,      16.391667,      41.841667,      72.029167,       1.410405,  615541.066927, 4633133.034783,     -65.900002,      -4.580876,      76.610043
      37.867928,      16.408333,      41.841667,      70.244576,       1.322021,  616924.823282, 4633155.594119,     -71.500000,      -4.968877,      75.213452
     177.285568,      16.425000,      41.841667,      69.154961,       1.178542,  618308.580752, 4633178.422146,     -76.300003,      -5.286352,      74.441312
      15.975000,      16.441667,      41.841667,      68.482376,       1.029914,  619692.339341, 4633201.518869,     -79.800003,      -5.530802,      74.013178
      41.841667,      16.458333,      41.841667,      67.995010,       0.950036,  621076.099055, 4633224.884292,     -83.599998,      -5.794659,      73.789669
     182.043594,      16.475000,      41.841667,      67.882996,       0.826975,  622459.859922, 4633248.518420,     -86.750000,      -6.015327,      73.898323
      34.343819,      16.491667,      41.841667,      68.307663,       0.789558,  623843.621947, 4633272.421258,     -90.149994,      -6.249042,      74.556705
     181.712326,      16.508333,      41.841667,      68.971649,       0.807992,  625227.385136, 4633296.592811,     -92.800003,      -6.436137,      75.407786
      15.991667,      16.525000,      41.841667,      69.133766,       0.760981,  626611.149517, 4633321.033083,     -95.149994,      -6.610364,      75.744130
      41.841667,      16.541667,      41.841667,      68.648270,       0.661690,  627994.915096, 4633345.742079,     -97.500000,      -6.779375,      75.427645
     183.826523,      16.558333,      41.841667,      67.971039,       0.764154,  629378.681877, 4633370.719804,     -99.800003,      -6.943717,      74.914756
      30.658386,      16.575000,      41.841667,      67.548180,       0.805727,  630762.449890, 4633395.966264,    -102.199997,      -7.120362,      74.668542
     183.579437,      16.591667,      41.841667,      67.663567,       0.799833,  632146.219139, 4633421.481462,    -104.900002,      -7.306083,      74.969649
      16.008333,      16.608333,      41.841667,      67.770523,       0.799375,  633529.989630, 4633447.265404,    -107.349998,      -7.493072,      75.263595
      41.841667,      16.625000,      41.841667,      67.330490,       0.810139,  634913.761391, 4633473.318096,    -109.149994,      -7.647204,      74.977694
     183.194778,      16.641667,      41.841667,      66.692688,       0.871366,  636297.534428, 4633499.639542,    -114.400002,      -7.966519,      74.659207
      26.976408,      16.658333,      41.841667,      66.302612,       1.004337,  637681.308745, 4633526.229748,    -114.500000,      -7.974819,      74.277432
     182.852890,      16.675000,      41.841667,      66.331818,       1.003543,  639065.084372, 4633553.088719,    -115.550003,      -8.132013,      74.463831
      16.025000,      16.691667,      41.841667,      66.722122,       0.999688,  640448.861313, 4633580.216460,    -129.799988,      -8.904459,      75.626581
      41.841667,      16.708333,      41.841667,      66.947319,       1.000008,  641832.639573, 4633607.612977,    -134.550003,      -9.429163,      76.376482
     180.274948,      16.725000,      41.841667,      66.404114,       0.999911,  643216.419182, 4633635.278275,    -140.050003,      -9.845972,      76.250086
      23.279287,      16.741667,      41.841667,      65.482681,       1.001562,  644600.200145, 4633663.212359,    -144.199997,     -10.161908,      75.644589
     179.897018,      16.758333,      41.841667,      64.749130,       0.999037,  645983.982465, 4633691.415236,    -147.600006,     -10.466236,      75.215366
